x0,x1,x2,x3,y,x4,x5
A0,32.0,A0,A0,0.0,0.0,0.03
A1,29.0,A0,A1,0.15,0.0,0.03
A2,29.0,A1,A2,0.15,0.0,0.0
A3,28.0,A0,A3,0.26,0.0,0.0
A4,30.0,A0,A4,0.1,0.02,0.0
A1,29.0,A2,A5,0.07,0.0,0.0
A5,22.0,A1,A6,0.06,0.02,0.0
A1,28.0,A3,A7,0.16,0.0,0.0
A6,7.0,A4,A8,0.0,0.0,1.25
A0,26.0,A5,A9,0.26,0.08,0.13
A7,23.0,A6,A3,0.06,0.05,0.0
A8,19.0,A7,A10,3.88,3.42,1.69
A8,21.0,A0,A11,0.08,0.05,0.0
A3,31.0,A8,A12,0.12,0.0,0.0
A9,36.0,A1,A13,0.04,0.0,0.0
A10,4.0,A7,A14,0.26,0.01,0.0
A4,36.0,A0,A4,0.01,0.01,0.0
A1,31.0,A9,A15,0.62,0.21,0.79
A3,27.0,A10,A16,0.11,0.0,0.0
A11,36.0,A0,A17,0.0,0.0,0.28
A3,29.0,A3,A12,0.05,0.0,0.0
A2,30.0,A8,A18,0.24,0.13,0.0
A12,19.0,A9,A19,0.17,0.04,0.0
A3,31.0,A10,A20,0.0,0.04,0.0
A13,35.0,A4,A8,0.0,0.01,0.37
A8,18.0,A1,A6,0.6,0.41,0.0
A8,18.0,A11,A21,0.03,0.02,0.03
A3,30.0,A4,A8,0.0,0.0,0.04
A3,28.0,A5,A8,0.0,0.0,0.03
A14,14.0,A1,A8,0.0,0.0,0.53
A7,28.0,A11,A8,0.0,0.0,0.5
A15,22.0,A1,A1,0.01,0.0,0.0
,33.0,A11,A8,0.0,0.0,0.07
A14,13.0,A1,A22,0.0,0.0,0.17
A13,34.0,A5,A23,0.06,0.0,0.03
A3,32.0,A2,A24,0.0,0.03,0.0
A16,35.0,A4,A25,0.0,0.0,0.05
A16,29.0,A5,A8,1.2,0.98,0.17
A2,30.0,A1,A26,0.47,0.0,0.0
A3,25.0,A4,A27,0.0,0.0,0.14
A16,30.0,A4,A10,0.23,0.09,0.27
A5,21.0,A7,A11,0.12,0.03,0.0
A5,22.0,A1,A21,0.16,0.04,0.0
A7,29.0,A2,A28,0.0,0.0,0.02
A16,30.0,A1,A25,0.0,0.0,0.04
A17,33.0,A0,A29,0.1,0.03,0.0
A16,31.0,A5,A3,0.53,0.46,0.02
A7,27.0,A8,A30,0.0,0.0,0.08
A8,17.0,A7,A31,1.05,0.2,0.0
A2,27.0,A2,A12,0.07,0.02,0.0
A16,31.0,A6,A21,2.85,2.93,0.35
A4,31.0,A7,A32,0.08,0.02,0.0
A3,29.0,A8,A26,0.19,0.0,0.0
A7,21.0,A8,A3,0.02,0.02,0.0
A1,27.0,A0,A26,0.04,0.01,0.0
A12,18.0,A1,A21,0.84,0.05,0.0
A7,24.0,A0,A1,0.03,0.03,0.0
A16,30.0,A3,A14,0.11,0.07,0.0
A13,35.0,A1,A33,0.0,0.05,0.0
A4,31.0,A1,A26,0.06,0.01,0.0
A7,28.0,A0,A26,0.16,0.12,0.0
A8,19.0,A11,A34,0.1,0.07,0.31
A7,23.0,A1,A6,0.26,0.2,0.0
A3,29.0,A8,A35,0.33,0.09,0.0
A1,27.0,A0,A36,0.12,0.01,0.0
A3,28.0,A6,A29,0.07,0.0,0.0
A11,35.0,A4,A17,0.37,0.32,0.15
A3,27.0,A10,A37,0.05,0.0,0.0
A0,28.0,A3,A8,0.0,0.0,0.16
A16,35.0,A0,A38,0.0,0.0,0.01
A0,32.0,A4,A1,0.0,0.0,0.13
A1,31.0,A1,A26,0.15,0.0,0.0
A4,26.0,A11,A39,0.0,0.08,0.0
,28.0,A4,A40,0.05,0.0,0.18
A18,25.0,A11,A26,0.11,0.03,0.0
A7,28.0,A0,A41,0.6,0.01,0.0
A6,13.0,A9,A15,0.79,0.14,0.8
A4,32.0,A0,A12,0.28,0.53,0.0
A16,32.0,A1,A21,0.24,0.22,0.0
A3,26.0,A4,A39,0.0,0.0,0.05
A15,23.0,A6,A21,0.1,0.04,0.0
A3,29.0,A8,A29,0.0,0.0,0.03
A0,26.0,A0,A8,0.0,0.0,0.12
A4,30.0,A10,A42,0.0,0.01,0.0
A15,25.0,A8,A26,0.01,0.0,0.0
A8,17.0,A6,A34,0.1,0.07,0.13
A16,29.0,A5,A43,0.36,0.1,0.06
A2,29.0,A8,A14,0.16,0.1,0.0
A3,27.0,A5,A3,0.11,0.01,0.0
A7,26.0,A0,A4,0.0,0.0,0.07
,36.0,A6,A4,0.03,0.0,0.0
,35.0,A4,A44,0.5,0.63,0.0
A3,29.0,A10,A45,0.03,0.01,0.0
A4,36.0,A0,A12,0.04,0.09,0.0
A15,24.0,A7,A21,0.31,0.12,0.0
A18,23.0,A0,A36,0.09,0.03,0.0
A7,23.0,A1,A14,0.08,0.06,0.0
A15,23.0,A7,A46,0.02,0.01,0.0
A3,,A4,A4,0.0,0.0,0.07
,28.0,A9,A39,0.54,0.33,0.0
,29.0,A2,A12,0.12,0.1,0.0
A5,23.0,A7,A11,0.03,0.01,0.0
A3,31.0,A5,A8,0.0,0.0,0.09
A3,27.0,A8,A8,0.0,0.0,0.12
A15,24.0,A8,A47,0.11,0.04,0.0
A0,26.0,A4,A12,0.17,0.01,0.23
A15,27.0,A8,A12,0.01,0.0,0.0
A4,24.0,A7,A48,0.0,0.03,0.0
A2,31.0,A8,A49,0.3,0.0,0.0
A13,33.0,A4,A50,0.04,0.01,0.12
A2,30.0,A0,A51,0.24,0.05,0.0
A12,20.0,A1,A21,0.6,0.03,0.0
A3,31.0,A7,A29,0.1,0.03,0.0
A8,16.0,A7,A52,0.23,0.16,0.0
A18,23.0,A0,A53,0.08,0.02,0.0
A18,23.0,A0,A21,0.05,0.01,0.0
A3,29.0,A4,A8,0.0,0.0,0.01
A16,34.0,A7,A54,0.07,0.31,0.02
A3,28.0,A2,A55,0.0,0.0,0.03
A8,19.0,A1,A56,0.22,0.15,0.0
A1,27.0,A5,A27,0.45,0.46,0.0
A7,24.0,A0,A4,0.01,0.01,0.0
A16,28.0,A0,A26,4.76,3.76,0.44
A18,22.0,A0,A21,0.45,0.24,0.0
A17,36.0,A0,A35,0.02,0.04,0.0
A15,24.0,A9,A57,0.05,0.02,0.0
A3,28.0,A3,A1,0.0,0.0,0.06
A16,34.0,A2,A58,0.0,0.0,0.03
A17,34.0,A0,A8,0.0,0.0,0.03
A3,30.0,A6,A14,0.22,0.01,0.0
A0,25.0,A8,A39,0.0,0.0,0.3
A18,24.0,A7,A54,0.08,0.02,0.0
A19,20.0,A1,A39,1.02,0.05,0.0
A7,23.0,A7,A6,0.05,0.04,0.0
A8,15.0,A5,A10,0.05,0.03,0.0
A12,18.0,A6,A59,0.15,0.04,0.0
A4,29.0,A2,A12,0.0,0.02,0.0
,21.0,A4,A60,0.01,0.0,0.0
A12,19.0,A10,A15,0.22,0.05,0.02
A9,34.0,A0,A14,0.12,0.07,0.0
A4,32.0,A10,A61,0.0,0.02,0.0
A3,31.0,A4,A17,0.0,0.0,0.08
A8,19.0,A0,A21,0.12,0.08,0.0
A8,15.0,A1,A62,0.0,0.0,0.1
A0,28.0,A5,A8,0.0,0.0,0.26
A2,29.0,A1,A21,0.87,0.0,0.0
A0,30.0,A7,A51,0.07,0.02,0.0
A16,28.0,A11,A26,0.49,0.19,0.01
A20,10.0,A10,A15,0.51,0.2,0.41
A18,25.0,A0,A39,0.1,0.03,0.0
A1,27.0,A0,A14,0.31,0.01,0.0
A4,32.0,A0,A17,0.06,0.05,0.0
A2,29.0,A4,A63,0.18,0.04,0.0
A18,24.0,A1,A64,0.12,0.03,0.0
A7,26.0,A4,A14,0.69,0.03,0.0
A2,29.0,A8,A1,0.12,0.0,0.0
A3,27.0,A9,A51,0.04,0.01,0.0
A17,31.0,A0,A15,0.31,0.1,0.05
A2,27.0,A4,A65,0.41,0.23,0.0
A1,27.0,A0,A46,0.16,0.0,0.0
A1,34.0,A1,A21,0.24,0.46,0.0
A7,23.0,A11,A9,0.19,0.15,0.0
A12,19.0,A3,A66,0.0,0.0,0.05
A0,31.0,A2,A67,0.0,0.0,0.03
A15,22.0,A9,A8,0.02,0.01,0.0
A16,27.0,A0,A26,0.12,0.02,0.0
A21,33.0,A9,A15,0.47,0.4,0.13
A3,29.0,A0,A12,0.19,0.18,0.0
A7,26.0,A8,A10,0.0,0.84,0.0
A5,24.0,A2,A54,0.04,0.01,0.0
